day_of_outbreak,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob
0,2.9229387019658515,0.8300936471617838,7.365566640079116,1.0
1,2.986051893610219,0.8798070526357165,7.615951642221068,0.8957692025697442
2,2.8441201312282085,0.8701407228978496,7.212998484968903,0.9836280613780748
3,2.5151289154270047,0.7879171356665067,6.077563685299886,0.9967206621713485
4,2.2374960626645652,0.7335857515573125,5.268215210385371,0.9967015826253282
5,1.9849855478974796,0.6682654282887337,4.532316371966697,0.9966259034368752
6,1.7637282143739699,0.6244465399736794,3.80814862961913,0.9964155678011489
7,1.5860931486248449,0.5844390561293914,3.314871172835182,0.9959576985326101
8,1.4469889394103679,0.5452610431753875,3.0251001504839063,0.9950759319434618
9,1.3333780183240402,0.5348433005307763,2.7015958838279017,0.993482544495474
10,1.2126619053385699,0.5056811029534349,2.3667867398779987,0.9968972551268775
11,1.129867212437814,0.47419524827913645,2.213855577188597,0.9953869000713937
12,1.0809639951830103,0.4555840641934275,2.0897366888699214,0.9929601966622222
13,1.0544095107864806,0.44210575661739143,2.0762370188571335,0.9891170305150585
14,1.0495289863936992,0.44816459143649023,2.0232113353441616,0.9833056705690273
15,1.0624021390002107,0.45928917468075137,2.008077592195561,0.9747597147481921
16,1.0978121221812631,0.4813164631253739,2.0947983851906806,0.9624815851964886
17,1.1565941949910905,0.48887259033479447,2.1986773069852488,0.9452966219988717
18,1.2320698067404847,0.5241123003802465,2.3248137679861887,0.9215951707587307
19,1.3379614922277423,0.5674817370428767,2.5698437592018837,0.8894123783526582
20,1.419681402957143,0.5910393153390688,2.7525317102032854,0.9753668127336557
21,1.5243091094461196,0.6481798249034043,2.9859514509874754,0.9672559834982397
22,1.6569789489148303,0.6823422322975851,3.249049312792036,0.9575192056661423
23,1.7547582089075233,0.7472381773615869,3.4465880861613605,0.9912505280237679
24,1.8808187319529885,0.8084828075873784,3.6191789714461526,0.9893194252941243
25,1.963644122296894,0.8436303141788125,3.8272319690568724,0.997831471922903
26,2.058006645895992,0.8684664338147751,4.036234451067596,0.9974201208396214
27,2.098074256847584,0.9076979780909536,4.057522434186497,0.9994719957778082
28,2.170189348303143,0.923945357481541,4.242453345781097,0.9993519900516913
29,2.1864154901162056,0.9745761011934545,4.265766303317,0.9998619476823157
30,2.151389642864978,0.9680898410091053,4.0750552362368495,0.9999685727370031
31,2.168139908287709,1.0084237145451553,4.026019610295099,0.99995620145996
32,2.1636054830935425,1.0398301244215193,3.8999145290105184,0.9999896955082809
33,2.1272882319085253,1.0392736031016518,3.9035650217565587,0.9999974526788894
34,2.141394954342352,1.0840304274725012,3.829433976783274,0.9999957544420934
35,2.131916584325931,1.1141936176076725,3.6725757032385675,0.9999989474451867
36,2.2070527628693113,1.1478444031148758,3.7384546663753158,0.9999980250140061
37,2.348898013064557,1.253695105287943,3.964749623749061,0.9999959832964819
38,2.354200154136357,1.2686692905774233,3.8717641433796652,0.9999999849113216
