start_day_of_year,day_of_outbreak,analytical,simulation
174,1,0.8363469300206813,0.8316
174,2,0.8363452351571731,0.8292
174,3,0.8362992726943781,0.8304
174,4,0.8359284949110023,0.8408
174,5,0.8344039055367476,0.8332
174,6,0.8302501205692274,0.8296
174,7,0.8215553280900428,0.8271
174,8,0.8062897878819265,0.8057
174,9,0.7825002212988288,0.7792
174,10,0.7484756630948042,0.748
174,11,0.703077805630788,0.7092
174,12,0.6461927332929869,0.6464
174,13,0.5791144405596947,0.5776
174,14,0.5046329265753275,0.5097
174,15,0.4268036381356908,0.4208
174,16,0.3501600126123695,0.3534
174,17,0.2787885575926058,0.2741
174,18,0.21570734139351144,0.2154
174,19,0.16252581844320668,0.1637
174,20,0.11953379466677405,0.1205
174,21,0.08603843745600936,0.088
174,22,0.06074761979631893,0.0622
174,23,0.04215144943771343,0.0438
174,24,0.028808320504578933,0.0266
174,25,0.019420778508017156,0.0193
174,26,0.012932165131977813,0.0119
174,27,0.00851576005853072,0.011
174,28,0.005550158657004256,0.0059
174,29,0.003584568929813514,0.003
174,30,0.0022957909294620826,0.0022
174,31,0.0014590218462178228,0.0009
174,32,0.000920538573059293,0.0006
174,33,0.0005768219161285115,0.0003
174,34,0.00035924659888630917,0.0005
174,35,0.000222521881730664,0.0001
174,36,0.0001371176863740331,0.0001
174,37,8.406595453147592e-05,0.0001
174,38,5.129234641920721e-05,0.0001
174,39,3.116570275785158e-05,0.0
174,40,1.886837846976075e-05,0.0
174,41,0.0,0.0
264,1,0.39354999034617455,0.3911
264,2,0.39354419917517014,0.3862
264,3,0.3934026680057844,0.3928
264,4,0.39237616790487717,0.3872
264,5,0.38858726682844114,0.3936
264,6,0.3793648015748947,0.3722
264,7,0.3623105279245802,0.3585
264,8,0.33631429351244646,0.3385
264,9,0.30197129571722525,0.3043
264,10,0.26140408008746885,0.2622
264,11,0.2178162055666596,0.2203
264,12,0.1745388610502533,0.1745
264,13,0.1346109831563499,0.1334
264,14,0.09999445361477766,0.1014
264,15,0.07169878711409061,0.0746
264,16,0.049736128406553615,0.0469
264,17,0.03346198875183859,0.0308
264,18,0.021886283737047374,0.0234
264,19,0.013947371399209874,0.0126
264,20,0.00867963416228934,0.0074
264,21,0.005280909711217308,0.0057
264,22,0.0031448520502794786,0.0026
264,23,0.0018339059365692911,0.0018
264,24,0.0010497923158979683,0.0013
264,25,0.0005899327772331819,0.0003
264,26,0.00032499683952735836,0.0005
264,27,0.0001757410676154203,0.0003
264,28,9.34542986706921e-05,0.0
264,29,4.8789057920273216e-05,0.0
264,30,2.4976264327403186e-05,0.0
264,31,1.256159614537733e-05,0.0
264,32,6.212381576276016e-06,0.0
264,33,3.022615104208981e-06,0.0001
264,34,1.4412869455693311e-06,0.0
264,35,6.764285059857045e-07,0.0
264,36,3.1330195215950596e-07,0.0
264,37,1.4395311587200865e-07,0.0
264,38,6.637792793195985e-08,0.0
264,39,3.1615088547098935e-08,0.0
264,40,1.638318047891829e-08,0.0
264,41,0.0,0.0
